主,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n057.png,zhǔ,"master, chief owner; host; lord",5
本,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n058.png,běn,"root, origin, source; basis",5
只,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n059.png,zhǐ,"only, just, simply",5
它,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n060.png,tā,it; other,5
民,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n061.png,mín,"people, subjects, citizens",5
正,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n062.png,zhèng,"right, proper, correct",5
业,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n063.png,yè,"profession, business; GB radical 111",5
外,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n064.png,wài,"out, outside, external; foreign",5
由,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n065.png,yóu,"cause, reason; from",5
头,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n066.png,tóu,"head; top; chief, first; boss",5
加,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n067.png,jiā,"add to, increase, augment",5
代,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n068.png,dài,"replace, replacement (of person or generation); era, generation",5
世,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n069.png,shì,generation; world; era,5
东,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n070.png,dōng,"east, eastern, eastward",5
立,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n071.png,lì,"stand; let stand; establish, set",5
在,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n072.png,zài,"be at, in, on; consist in, rest",6
有,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n073.png,yǒu,"have, own, possess; exist",6
地,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n074.png,de,"earth; soil, ground; region",6
会,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n075.png,huì,"assemble, meet together; meeting",6
而,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n076.png,ér,and; and then; and yet; but,6
那,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n077.png,nà,"that, that one, those",6
自,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n078.png,zì,"self, private, personal; from",6
年,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n079.png,nián,,6
过,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n080.png,guò,"pass, pass through, go across",6
后,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n081.png,hòu,"queen, empress, sovereign; (simp. for 後) behind, rear, after",6
行,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n082.png,xíng,"go; walk; move, travel; circulate",6
成,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n083.png,chéng,"completed, finished, fixed",6
多,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n084.png,duō,"much, many; more than, over",6
如,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n085.png,rú,"if, supposing; as if; like, as",6
